Comedy Central ,43,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ComedyCentral.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ComedyCentral.png
Cozi,5.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
Discovery Channel ,37,http://signage.unitedcenter.com/tvguide/crestron/tvicons/DiscoveryChannel.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,DiscoveryChannel.png
E! ,40,http://signage.unitedcenter.com/tvguide/crestron/tvicons/E.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,E.png
ESPN ,60.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ESPN.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ESPN.png
ESPN U ,55.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ESPN2.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ESPN2.png
ESPN2 ,61.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ESPNU.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ESPNU.png
Food Network ,49,http://signage.unitedcenter.com/tvguide/crestron/tvicons/FoodNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,FoodNetwork.png
FOX ,32.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/FOX.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,FOX.png
Fox News,32,http://signage.unitedcenter.com/tvguide/crestron/tvicons/FoxNews.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,FoxNews.png
Fox Sports 1,25 .1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/FoxSports1.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,FoxSports1.png
FX Networks ,41,http://signage.unitedcenter.com/tvguide/crestron/tvicons/FX.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,FX.png
Golf Channel USA ,58.3,http://signage.unitedcenter.com/tvguide/crestron/tvicons/GolfChannel.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,GolfChannel.png
H&I,26.4,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
History ,36,http://signage.unitedcenter.com/tvguide/crestron/tvicons/HistoryChannel.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,HistoryChannel.png
Laff,7.3,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
Live Well,7.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/LiveWellNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,LiveWellNetwork.png
MeTV ,26.3,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
MLB ,59.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/MLBNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,MLBNetwork.png
Movies,50.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
MSNBC,29,http://signage.unitedcenter.com/tvguide/crestron/tvicons/MSNBC.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,MSNBC.png
NBA TV USA HD,18.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/NBATV.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,NBATV.png
NBC ,5.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/NBC.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,NBC.png
NBC Sports,57.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/NBCSportsNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,NBCSportsNetwork.png
NFL ,57.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/NFLNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,NFLNetwork.png
NHL ,19.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/NHLNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,NHLNetwork.png
SPIKE ,46,http://signage.unitedcenter.com/tvguide/crestron/tvicons/Spike.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,Spike.png
Suites Info,97.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
Syfy ,47,http://signage.unitedcenter.com/tvguide/crestron/tvicons/Syfy.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,Syfy.png
TBS,58.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/TBS.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,TBS.png
